Price,Bathrooms,Bedrooms,ParkingSlots,SquareMeters,GpsLongitude,GpsLatitude,Municipio,Estado
3970000,4,3,1,250.00,-106.4245478,31.6903638,Juárez Municipality,Chihuahua
4660000,2,2,2,136.00,-99.2868745,19.4226596,Huixquilucan de Degollado,Estado de México
650650,1,2,2,100.00,-97.93215389999999,19.9387959,Zacatlán,Puebla
1200000,1,2,1,58.00,-99.0750325,19.3302934,Iztapalapa,Ciudad de México
9500000,4,4,3,389.00,-98.2592881,19.0042877,San Andrés Cholula,Puebla
7800000,4,4,4,367.00,-103.4124042,20.7541823,Zapopan,Jalisco
2400000,2,3,2,147.00,-100.4719736,20.7446358,Querétaro,Querétaro
1200000,1,2,1,58.00,-99.0702065,19.3159307,Iztapalapa,Ciudad de México
2898000,3,3,1,251.68,-96.8651307,19.5217895,Xalapa,Veracruz
8990000,2,2,2,122.00,-99.1760403,19.396569,Benito Juarez,Ciudad de México
15150000,3,3,4,283.50,-99.1946983,19.3008558,Tlalpan,Ciudad de México
1850000,3,3,2,160.00,-89.68573429999999,21.0077498,Mérida Municipality,Yucatán
6559000,2,3,2,107.00,-99.18298329999999,19.4029153,Miguel Hidalgo,Ciudad de México
5900000,2,3,2,300.00,-99.2128381,19.3629908,Álvaro Obregón,Ciudad de México
1800000,2,2,1,109.00,-100.4144617,20.5204154,Corregidora,Querétaro
1690000,2,2,2,100.00,-99.2459282,19.633162,Cuautitlán Izcalli Municipality,Estado de México
1500000,3,3,2,207.00,-96.110116,19.135481,Boca del Río,Veracruz
8900000,3,3,3,300.00,-99.2361799,19.343502,Álvaro Obregón,Ciudad de México
4100000,4,3,3,266.00,-87.0626576,20.6793147,Solidaridad,Quintana Roo
4289000,2,2,2,154.00,-99.1933664,19.4546836,Miguel Hidalgo,Ciudad de México
1450000,3,3,2,140.00,-101.2493423,19.6936604,Morelia,Michoacán
3100000,2,3,3,186.00,-100.346627,20.6437181,Querétaro,Querétaro
16200000,2,3,3,395.00,-99.2040557,19.3614558,Álvaro Obregón,Ciudad de México
3200000,1,1,2,54.00,-99.2697,19.3711,Cuajimalpa,Ciudad de México
2950000,2,3,2,190.00,-101.0443504,22.1593377,San Luis Potosí,San Luis Potosí
2950000,4,3,2,180.00,-101.1645254,19.6652184,Morelia,Michoacán
1398000,1,2,1,55.00,-99.151689,19.4495814,Cuauhtémoc,Ciudad de México
4900000,2,3,2,240.00,-99.1612011,19.2841167,Tlalpan,Ciudad de México
20000000,3,4,2,385.00,-99.2479,19.4069,Miguel Hidalgo,Ciudad de México
22950000,2,2,4,359.00,-99.26516,19.3893471,Cuajimalpa,Ciudad de México
7000000,4,4,2,400.00,-98.3197761,19.0131849,San Andrés Cholula,Puebla
5300000,2,3,2,125.00,-99.2368,19.3473,Álvaro Obregón,Ciudad de México
3900000,2,2,1,88.00,-99.8492134,16.8461487,Acapulco,Guerrero
7048000,3,3,2,194.00,-99.2868745,19.4226596,Huixquilucan de Degollado,Estado de México
1950000,2,4,1,94.00,-103.2967317,20.7111163,Guadalajara,Jalisco
4800000,4,3,2,350.00,12.3155151,45.4408474,Venezia,Veneto
2200000,3,3,2,183.00,-101.617369,21.140434,León,Guanajuato
